"section_name","web_list","web_content","inc_type_name","inc_name","inc_time","incidentid","freewayid","expresswayid","directionid","inc_location","from_milepost","to_milepost","interchange","inc_blockage","inc_severity","inc_notify_time","inc_notify_mode","inc_end_time","inc_stepno","inc_step_time","area","latitude","longitude"
"虎尾(235) - 雲林系統(243)","國道1號北向242.14km","國道1號北向242.14km=>239.02km 中期性施工","施工事件","中期性施工","2020-02-10 07:44:52","20200210000072","1","0","4","雲林系統-斗南",242140,239020,NA,"1100000000","0","2020-02-10 07:44:52","施工通報",NA,"1","2020-02-10 07:44:52","C","23.68141312","120.46481940"
"幼獅(67) - 楊梅(69)","國道1號北向68.5km","國道1號北向68.5km=>68.5km 散落物","散落物","散落物","2020-02-10 09:23:00","202002100923030023","1","0","4",NA,68500,68500,NA,"00010000","1","2020-02-10 09:23:00","市內電話",NA,"1","2020-02-10 09:23:00","N","24.91530983","121.16669820"
"新營服務區(284) - 下營系統(299)","國道1號北向293.48km","國道1號北向293.48km=>288.1km 移動性施工","施工事件","移動性施工","2020-02-10 07:53:00","20200210075354870400045","1","0","4",NA,293483,288100,NA,"00000000010000000000","1","2020-02-10 07:53:00","施工通報APP",NA,"1","2020-02-10 07:53:00","S","23.27018694","120.26425290"
"新竹(95) - 新竹(95)","國道1號南向95.4km","國道1號南向95.4km=>95.4km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-10 09:36:00","202002100936000001","1","0","3",NA,95400,95400,NA,"0000000","2","2020-02-10 09:36:00","偵測器(出口匝道)",NA,"1","2020-02-10 09:36:00","N","24.78696264","121.00429070"
"台北(25) - 三重(27)","國道1號南向26.3km","國道1號南向26.3km=>26.3km 散落物","散落物","散落物","2020-02-10 09:35:00","202002100935500023","1","0","3",NA,26300,26300,NA,"00010000","1","2020-02-10 09:35:00","1968",NA,"1","2020-02-10 09:35:00","N","25.07769084","121.50310680"
"台北(25) - 三重(27)","國道1號北向26.3km","國道1號北向26.3km=>26.3km 散落物","散落物","散落物","2020-02-10 09:31:00","202002100931190023","1","0","4",NA,26300,26300,NA,"00010000","1","2020-02-10 09:31:00","市內電話",NA,"1","2020-02-10 09:31:00","N","25.07769084","121.50310680"
"漁港路(373) - 高雄端(374)","國道1號南向373.4km","國道1號南向373.4km=>374.3km 施工維護","施工事件","施工維護","2020-02-10 09:30:00","20200210093109192400021","1","0","3",NA,373400,374300,NA,"22222222222222222222","1","2020-02-10 09:30:00","施工通報APP",NA,"1","2020-02-10 09:30:00","S","22.58342216","120.32517900"
"豐原(168) - 台中(178)","國道1號南向173.55km","國道1號南向173.55km=>177.6km 短期性施工","施工事件","短期性施工","2020-02-10 09:29:44","20200210001504","1","0","3","豐原-大雅",173550,177600,NA,"0001","0","2020-02-10 09:29:44","施工通報",NA,"1","2020-02-10 09:29:44","C","24.20890948","120.66366630"
"高科(342) - 岡山(349)","國道1號北向347.4km","國道1號北向347.4km=>347.4km 散落物","一般事件","散落物","2020-02-10 09:25:00","20200210092620391400023","1","0","4",NA,347400,347400,NA,"01000000000000000000","1","2020-02-10 09:26:00",NA,NA,"1","2020-02-10 09:25:00","S","22.80611211","120.31582930"
"五股(33) - 五股(33)","國道1號北向33.1km","國道1號北向33.1km=>33.1km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-10 09:25:00","202002100925000001","1","0","4",NA,33100,33100,NA,"0000000","2","2020-02-10 09:25:00","偵測器(出口匝道)",NA,"1","2020-02-10 09:25:00","N","25.06878300","121.43774770"
"東湖(15) - 東湖(15)","國道1號北向15.2km","國道1號北向15.2km=>15.2km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-10 09:37:00","202002100937000001","1","0","4",NA,15200,15200,NA,"0000000","2","2020-02-10 09:37:00","偵測器(出口匝道)",NA,"1","2020-02-10 09:37:00","N","25.06521686","121.61026350"
"大林(250) - 嘉義(264)","國道1號北向259km","國道1號北向259km=>257km 施工維護","施工事件","施工維護","2020-02-10 09:03:00","20200210090348606400021","1","0","4",NA,259000,257000,NA,"00000000010000000000","1","2020-02-10 09:03:00","施工通報APP",NA,"1","2020-02-10 09:03:00","S","23.53855131","120.41004000"
"北斗(220) - 虎尾(235)","國道1號南向228km","國道1號南向228km=>231km 短期性施工","施工事件","短期性施工","2020-02-10 08:51:54","20200210000799","1","0","3","北斗-西螺服務區",228000,231000,NA,"0001","0","2020-02-10 08:51:54","施工通報",NA,"1","2020-02-10 08:51:54","C","23.80319863","120.48318260"
"麻豆(303) - 安定(311)","國道1號北向311km","國道1號北向311km=>309km 施工維護","施工事件","施工維護","2020-02-10 08:30:00","20200210083021173400021","1","0","4",NA,311000,309000,NA,"22222222222222222222","1","2020-02-10 08:30:00","施工通報APP",NA,"1","2020-02-10 08:30:00","S","23.11913024","120.24298160"
"岡山(349) - 楠梓(356)","國道1號北向355km","國道1號北向355km=>350km 移動性施工","施工事件","移動性施工","2020-02-10 08:21:00","20200210082115967400045","1","0","4",NA,355000,350000,NA,"00000000010000000000","1","2020-02-10 08:21:00","施工通報APP",NA,"1","2020-02-10 08:21:00","S","22.74024915","120.33454150"
"岡山(349) - 高雄端(374)","國道1號南向355km","國道1號南向355km=>374.32km 施工維護","施工事件","施工維護","2020-02-10 08:09:00","20200210080945393400021","1","0","3",NA,355000,374320,NA,"00000000010000000000","1","2020-02-10 08:09:00","施工通報APP",NA,"1","2020-02-10 08:09:00","S","22.74024915","120.33454150"
"岡山(349) - 鼎金系統(362)","國道1號南向355km","國道1號南向355km=>360.32km 移動性施工","施工事件","移動性施工","2020-02-10 08:09:00","20200210080915045400045","1","0","3",NA,355000,360320,NA,"00000000010000000000","1","2020-02-10 08:09:00","施工通報APP",NA,"1","2020-02-10 08:09:00","S","22.74024915","120.33454150"
"大林(250) - 永康(319)","國道1號北向319km","國道1號北向319km=>252km 施工維護","施工事件","施工維護","2020-02-10 08:05:00","20200210080515760400021","1","0","4",NA,319000,252000,NA,"00000000010000000000","1","2020-02-10 08:05:00","施工通報APP",NA,"1","2020-02-10 08:05:00","S","23.04798005","120.25258370"
"岡山(349) - 楠梓(356)","國道1號北向355km","國道1號北向355km=>350km 移動性施工","施工事件","移動性施工","2020-02-10 08:00:00","20200210080027420400045","1","0","4",NA,355000,350000,NA,"00000000010000000000","1","2020-02-10 08:00:00","施工通報APP",NA,"1","2020-02-10 08:00:00","S","22.74024915","120.33454150"
"大林(250) - 民雄(257)","國道1號南向251.1km","國道1號南向251.1km=>256km 移動性施工","施工事件","移動性施工","2020-02-10 07:55:00","20200210075545561400045","1","0","3",NA,251100,256000,NA,"11000000000000000000","1","2020-02-10 07:55:00","施工通報APP",NA,"1","2020-02-10 07:55:00","S","23.60547674","120.43600620"
"汐止端(13) - 堤頂(18)","國1高架南向13.08km","國1高架南向13.08km=>15km 施工","施工維護","施工","2020-02-10 08:50:00","202002100850570021","N1H","0","3",NA,13080,15000,NA,"00000001","1","2020-02-10 08:50:00","語音0509784",NA,"1","2020-02-10 09:05:00","N","25.06737036","121.63193090"
"後龍(130) - 通霄(144)","國道3號北向135km","國道3號北向135km=>134km 中期性施工","施工事件","中期性施工","2020-02-10 08:59:24","20200210000993","3","0","4","通霄-西湖服務區",135000,134000,NA,"1100000000","0","2020-02-10 08:59:24","施工通報",NA,"1","2020-02-10 08:59:24","C","24.56410846","120.75930550"
"新化系統(346) - 關廟(357)","國道3號南向350.4km","國道3號南向350.4km=>350.9km 施工維護","施工事件","施工維護","2020-02-10 08:23:00","20200210082351028400021","3","0","3",NA,350400,350900,NA,"22222222222222222222","1","2020-02-10 08:23:00","施工通報APP",NA,"1","2020-02-10 08:23:00","S","23.03402713","120.32718610"
"白河(311) - 關廟服務區(363)","國道3號南向315km","國道3號南向315km=>358km 施工維護","施工事件","施工維護","2020-02-10 08:53:00","20200210085309028400021","3","0","3",NA,315000,358000,NA,"00000000010100000000","1","2020-02-10 08:53:00","施工通報APP",NA,"1","2020-02-10 08:53:00","S","23.31909363","120.42906590"
"善化(340) - 關廟(357)","國道3號南向343km","國道3號南向343km=>357km 施工維護","施工事件","施工維護","2020-02-10 08:36:00","20200210083622291400021","3","0","3",NA,343000,357000,NA,"00000000010100000000","1","2020-02-10 08:36:00","施工通報APP",NA,"1","2020-02-10 08:36:00","S","23.09863325","120.32820030"
"白河(311) - 東山服務區(319)","國道3號北向314.7km","國道3號北向314.7km=>314km 施工維護","施工事件","施工維護","2020-02-10 08:36:00","20200210083613537400021","3","0","4",NA,314700,314000,NA,"00010000010000000000","1","2020-02-10 08:36:00","施工通報APP",NA,"1","2020-02-10 08:36:00","S","23.32174118","120.42968710"
"官田系統(334) - 善化(340)","國道3號南向337km","國道3號南向337km=>337km 散落物","一般事件","散落物","2020-02-10 09:20:00","20200210092107866400023","3","0","3",NA,337000,337000,NA,"00110000000000000000","2","2020-02-10 09:21:00",NA,NA,"1","2020-02-10 09:20:00","S","23.15025110","120.34101990"
"龍井(182) - 和美(191)","國道3號南向191km","國道3號南向191km=>191km 事故","一般事件","事故","2020-02-10 09:17:16","20200210001347","3","0","3","龍井-和美",191000,191000,NA,"0010000000","低","2020-02-10 09:17:36","專線電話",NA,"1",NA,"C","24.14479377","120.51936210"
"新化休息站(350) - 關廟(357)","國道3號北向356.4km","國道3號北向356.4km=>354.7km 施工維護","施工事件","施工維護","2020-02-10 09:38:00","20200210093802775400021","3","0","4",NA,356400,354700,NA,"00000000010000000000","1","2020-02-10 09:38:00","施工通報APP",NA,"1","2020-02-10 09:38:00","S","22.98148057","120.32172270"
"安坑(31) - 中和(35)","國道3號南向33.2km","國道3號南向33.2km=>33.2km 事故","交通事故","事故","2020-02-10 09:26:00","202002100926520020","3","0","3",NA,33200,33200,NA,"00100000","1","2020-02-10 09:26:00","專線電話",NA,"1","2020-02-10 09:26:00","N","24.97786439","121.50769490"
"梅山(279) - 竹崎(290)","國道3號北向282.8km","國道3號北向282.8km=>282.3km 施工維護","施工事件","施工維護","2020-02-10 09:28:00","20200210092854296400021","3","0","4",NA,282800,282300,NA,"00010000010000000000","1","2020-02-10 09:28:00","施工通報APP",NA,"1","2020-02-10 09:28:00","S","23.56951273","120.50538040"
"田寮(369) - 九如(391)","國道3號北向384.15km","國道3號北向384.15km=>379km 移動性施工","施工事件","移動性施工","2020-02-10 09:32:00","20200210093217612400045","3","0","4",NA,384150,379000,NA,"00000000010000000000","1","2020-02-10 09:32:00","施工通報APP",NA,"1","2020-02-10 09:32:00","S","22.77572255","120.43071770"
"竹崎(290) - 中埔(297)","國道3號北向295.5km","國道3號北向295.5km=>291.1km 施工維護","施工事件","施工維護","2020-02-10 09:34:00","20200210093520163400021","3","0","4",NA,295500,291100,NA,"00110000000000000000","2","2020-02-10 09:35:00",NA,NA,"1","2020-02-10 09:34:00","S","23.46476006","120.49729560"
"新化休息站(350) - 關廟服務區(363)","國道3號北向358km","國道3號北向358km=>353km 移動性施工","施工事件","移動性施工","2020-02-10 09:39:00","20200210093950717400045","3","0","4",NA,358000,353000,NA,"00000000010000000000","1","2020-02-10 09:39:00","施工通報APP",NA,"1","2020-02-10 09:39:00","S","22.97214983","120.33281300"
"沙鹿(176) - 龍井(182)","國道3號南向176.81km","國道3號南向176.81km=>176.81km 移動性施工","施工事件","移動性施工","2020-02-10 09:40:45","20200210000288","3","0","3","沙鹿-龍井",176812,176812,NA,"1000000000","0","2020-02-10 09:40:45","施工通報",NA,"73","2020-02-10 09:40:45","C","24.24429677","120.59304340"
"沙鹿(176) - 龍井(182)","國道3號南向177.01km","國道3號南向177.01km=>177.01km 移動性施工","施工事件","移動性施工","2020-02-10 09:41:34","20200210000288","3","0","3","沙鹿-龍井",177012,177012,NA,"1000000000","0","2020-02-10 09:41:34","施工通報",NA,"74","2020-02-10 09:41:34","C","24.24254757","120.59352740"
"南州(424) - 大鵬灣端(431)","國道3號北向431.5km","國道3號北向431.5km=>426.15km 移動性施工","施工事件","移動性施工","2020-02-10 08:11:00","20200210081140962400045","3","0","4",NA,431500,426150,NA,"00000000010000000000","1","2020-02-10 08:11:00","施工通報APP",NA,"1","2020-02-10 08:11:00","S","22.44140051","120.49771330"
"竹山(243) - 斗六(260)","國道3號南向248.96km","國道3號南向248.96km=>251.47km 施工","施工事件","施工","2020-02-10 08:18:13","20200210000175","3","0","3","竹山-南雲",248966,251472,NA,"1100000000","0","2020-02-10 08:18:13","施工通報",NA,"1","2020-02-10 08:18:13","C","23.77707023","120.67042310"
"茄苳(103) - 茄苳(103)","國道3號北向103.9km","國道3號北向103.9km=>103.9km 施工","施工維護","施工","2020-02-10 01:05:00","202002100105240021","3","0","4",NA,103900,103900,NA,"00000001","1","2020-02-10 01:05:00","語音0509866",NA,"1","2020-02-10 07:15:00","N","24.75684289","120.95673910"
"白河(311) - 柳營(322)","國道3號北向320km","國道3號北向320km=>318km 施工維護","施工事件","施工維護","2020-02-10 08:06:00","20200210080635415400021","3","0","4",NA,320000,318000,NA,"00000000010000000000","1","2020-02-10 08:06:00","施工通報APP",NA,"1","2020-02-10 08:06:00","S","23.28752402","120.39691260"
