"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","11","台北市","F","是","55-59",2
"嚴重特殊傳染性肺炎","2020","11","台北市","M","是","20-24",3
"嚴重特殊傳染性肺炎","2020","11","桃園市","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","11","新北市","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","40-44",3
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","12","雲林縣","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","新北市","M","是","20-24",3
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","13","桃園市","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","13","桃園市","F","是","65-69",1
"嚴重特殊傳染性肺炎","2020","13","高雄市","F","是","15-19",2
"嚴重特殊傳染性肺炎","2020","13","高雄市","M","是","30-34",3
