"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","2021","19","台北市","中正區","M","否","50-54",4,5
"嚴重特殊傳染性肺炎","2021","20","台北市","中正區","M","否","50-54",3,2
"嚴重特殊傳染性肺炎","2021","20","台北市","大同區","F","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","20","新北市","中和區","M","否","65-69",25,26
"嚴重特殊傳染性肺炎","2021","21","台北市","中山區","F","否","65-69",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","65-69",6,5
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","70+",6,7
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","M","否","65-69",15,14
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","65-69",2,3
"嚴重特殊傳染性肺炎","2021","22","彰化縣","二林鎮","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","23","彰化縣","二林鎮","M","否","70+",NA,1
"嚴重特殊傳染性肺炎","2021","23","新北市","五股區","M","否","40-44",NA,1
"嚴重特殊傳染性肺炎","2021","24","台北市","文山區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","24","新北市","三重區","M","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","24","新北市","五股區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","24","新北市","樹林區","F","否","60-64",1,2
"嚴重特殊傳染性肺炎","2021","24","新北市","永和區","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","25","台北市","內湖區","M","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","25","台北市","士林區","F","否","65-69",3,2
"嚴重特殊傳染性肺炎","2021","25","台北市","士林區","M","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","25","台北市","大同區","F","否","65-69",NA,1
"嚴重特殊傳染性肺炎","2021","25","台北市","萬華區","F","否","10-14",2,1
"嚴重特殊傳染性肺炎","2021","25","新北市","三重區","F","否","35-39",3,2
"嚴重特殊傳染性肺炎","2021","25","新北市","中和區","F","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","25","新北市","土城區","M","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","25","新北市","土城區","M","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","25","高雄市","仁武區","M","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","25","高雄市","左營區","M","否","25-29",NA,1
"嚴重特殊傳染性肺炎","2021","26","台中市","北區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","26","台中市","北屯區","F","否","65-69",NA,1
"嚴重特殊傳染性肺炎","2021","26","台北市","中山區","F","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","26","台北市","中山區","F","否","35-39",3,1
"嚴重特殊傳染性肺炎","2021","26","台北市","中山區","F","否","65-69",1,2
"嚴重特殊傳染性肺炎","2021","26","台北市","中山區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","信義區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","信義區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","內湖區","M","否","55-59",NA,1
"嚴重特殊傳染性肺炎","2021","26","台北市","北投區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","士林區","F","否","35-39",3,2
"嚴重特殊傳染性肺炎","2021","26","台北市","大同區","F","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大同區","M","否","3",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","F","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","大安區","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","文山區","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","文山區","F","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","26","台北市","文山區","F","否","60-64",2,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","文山區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","文山區","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","松山區","F","否","1",1,NA
"嚴重特殊傳染性肺炎","2021","26","台北市","萬華區","F","否","10-14",NA,1
"嚴重特殊傳染性肺炎","2021","26","台北市","萬華區","F","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","26","台北市","萬華區","M","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","26","基隆市","安樂區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","26","屏東縣","枋山鄉","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","26","彰化縣","員林市","F","否","65-69",2,NA
"嚴重特殊傳染性肺炎","2021","26","彰化縣","員林市","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","26","新北市","三重區","F","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","26","新北市","中和區","F","否","65-69",NA,1
"嚴重特殊傳染性肺炎","2021","26","新北市","中和區","M","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","26","新北市","土城區","F","否","30-34",1,NA
