"確定病名","發病年份","縣市","性別","是否為境外移入","年齡層","發病週別.x","確定病例數.x","發病週別.y","確定病例數.y"
"嚴重特殊傳染性肺炎","2020","不明","M","是","25-29",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","南投縣","M","是","40-44",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","20-24",NA,NA,"11",4
"嚴重特殊傳染性肺炎","2020","台中市","F","是","20-24",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台中市","F","是","25-29",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","台中市","F","是","25-29",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台中市","F","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","30-34",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","35-39",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","35-39",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","40-44",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","45-49",NA,NA,"22",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","5-9",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台中市","F","是","70+",NA,NA,"4",2
"嚴重特殊傳染性肺炎","2020","台中市","M","是","20-24",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台中市","M","是","20-24",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","25-29",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","25-29",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台中市","M","是","25-29",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","25-29",NA,NA,"16",2
"嚴重特殊傳染性肺炎","2020","台中市","M","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","35-39",NA,NA,"25",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","45-49",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","45-49",NA,NA,"13",1
