"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","10","空值","空值","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","10","空值","空值","F","是","20-24",3
"嚴重特殊傳染性肺炎","2020","10","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","10","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","10","空值","空值","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","10","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","10","空值","空值","M","是","30-34",3
"嚴重特殊傳染性肺炎","2020","10","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","10","空值","空值","M","是","70+",1
"嚴重特殊傳染性肺炎","2020","10","桃園市","蘆竹區","F","否","25-29",1
"嚴重特殊傳染性肺炎","2020","10","桃園市","蘆竹區","M","否","20-24",1
"嚴重特殊傳染性肺炎","2020","10","新北市","新店區","F","否","55-59",1
"嚴重特殊傳染性肺炎","2020","11","台南市","新市區","F","否","25-29",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","20-24",10
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","25-29",9
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","30-34",7
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","35-39",4
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","40-44",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","45-49",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","55-59",4
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","60-64",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","F","是","65-69",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","20-24",7
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","25-29",5
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","30-34",9
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","4",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","40-44",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","50-54",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","55-59",4
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","60-64",2
"嚴重特殊傳染性肺炎","2020","11","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","11","桃園市","龜山區","F","否","20-24",1
"嚴重特殊傳染性肺炎","2020","12","台中市","北區","F","否","30-34",1
"嚴重特殊傳染性肺炎","2020","12","台北市","大同區","F","否","15-19",1
"嚴重特殊傳染性肺炎","2020","12","台北市","信義區","F","否","35-39",1
"嚴重特殊傳染性肺炎","2020","12","台北市","內湖區","F","否","50-54",1
"嚴重特殊傳染性肺炎","2020","12","台北市","內湖區","M","否","35-39",1
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","15-19",6
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","20-24",25
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","25-29",8
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","30-34",6
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","35-39",3
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","45-49",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","50-54",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","55-59",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","5-9",1
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","60-64",4
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","65-69",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","F","是","70+",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","15-19",3
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","20-24",13
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","25-29",5
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","30-34",9
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","35-39",7
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","40-44",4
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","45-49",3
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","50-54",4
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","55-59",3
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","60-64",4
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","65-69",2
"嚴重特殊傳染性肺炎","2020","12","空值","空值","M","是","70+",4
"嚴重特殊傳染性肺炎","2020","12","新北市","中和區","F","否","30-34",1
"嚴重特殊傳染性肺炎","2020","12","新北市","三重區","M","否","15-19",1
"嚴重特殊傳染性肺炎","2020","12","新北市","五股區","M","否","25-29",1
"嚴重特殊傳染性肺炎","2020","12","新北市","汐止區","M","否","35-39",1
"嚴重特殊傳染性肺炎","2020","12","新竹市","東區","F","否","65-69",1
"嚴重特殊傳染性肺炎","2020","12","新竹市","東區","M","否","30-34",1
"嚴重特殊傳染性肺炎","2020","13","台中市","大里區","F","否","40-44",1
"嚴重特殊傳染性肺炎","2020","13","台北市","大安區","F","否","45-49",1
"嚴重特殊傳染性肺炎","2020","13","台北市","內湖區","F","否","45-49",1
"嚴重特殊傳染性肺炎","2020","13","台北市","文山區","M","否","20-24",1
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","15-19",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","20-24",11
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","25-29",5
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","30-34",6
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","40-44",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","50-54",2
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","60-64",1
