"section_name","web_list","web_content","inc_type_name","inc_name","inc_time","incidentid","freewayid","expresswayid","directionid","inc_location","from_milepost","to_milepost","interchange","inc_blockage","inc_severity","inc_notify_time","inc_notify_mode","inc_end_time","inc_stepno","inc_step_time","area","latitude","longitude"
"安定(311) - 安定(311)","國道1號北向311.1km","國道1號北向311.1km=>311.1km 施工預告","施工事件","施工預告","2020-02-03 11:51:00","20200203115329397400041","1","0","4",NA,311100,311100,"安定北向入口","2222222222","1","2020-02-03 11:53:00",NA,NA,"1","2020-02-03 11:51:00","S","23.11828362","120.24332110"
"南屯(181) - 王田(189)","國道1號南向187km","國道1號南向187km=>188km 散落物","一般事件","散落物","2020-02-03 17:37:33","20200203007191","1","0","3","南屯-王田",187000,188000,NA,"1000000000","低","2020-02-03 17:37:35","專線電話",NA,"1",NA,"C","24.11171977","120.60130560"
"麻豆(303) - 麻豆(303)","國道1號南向303.7km","國道1號南向303.7km=>303.7km 施工預告","施工事件","施工預告","2020-02-03 12:32:00","20200203123323093400041","1","0","3",NA,303700,303700,"麻豆南向入口","2222222222","1","2020-02-03 12:33:00",NA,NA,"1","2020-02-03 12:32:00","S","23.18253123","120.23565800"
"桃園(49) - 機場系統(52)","國道1號南向51km","國道1號南向51km=>51km 事故","交通事故","事故","2020-02-03 17:54:00","202002031754510020","1","0","3",NA,51000,51000,NA,"01100000","2","2020-02-03 17:54:00","專線電話",NA,"1","2020-02-03 17:54:00","N","25.02730023","121.28324790"
"北斗(220) - 北斗(220)","國道1號北向220.1km","國道1號北向220.1km=>220.1km 事故","一般事件","事故","2020-02-03 17:42:23","20200203007204","1","0","4","北斗-員林",220100,220100,"N1_220100","1000000000","低","2020-02-03 17:42:35","專線電話",NA,"1",NA,"C","23.87378893","120.49027760"
"中壢(62) - 中壢(62)","國道1號北向62.4km","國道1號北向62.4km=>62.4km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-03 18:07:00","202002031807040001","1","0","4",NA,62400,62400,NA,"0000000","2","2020-02-03 18:07:00","偵測器(出口匝道)",NA,"1","2020-02-03 18:07:00","N","24.95768993","121.20031090"
"新竹(95) - 新竹(95)","國道1號南向95.4km","國道1號南向95.4km=>95.4km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-03 17:17:00","202002031717030001","1","0","3",NA,95400,95400,NA,"0000000","2","2020-02-03 17:17:00","偵測器(出口匝道)",NA,"1","2020-02-03 17:17:00","N","24.78696264","121.00429070"
"台南系統(315) - 台南系統(315)","國道1號南向315.5km","國道1號南向315.5km=>315.5km 封閉預告","其他事件","封閉預告","2020-02-03 16:36:00","20200203163802612400043","1","0","3",NA,315500,315500,"台南系統南向出口","000000000100d86212","1","2020-02-03 16:37:00",NA,NA,"1","2020-02-03 16:36:00","S","23.07951660","120.25219110"
"嘉義系統(272) - 嘉義系統(272)","國道1號南向272.9km","國道1號南向272.9km=>272.9km 施工預告","施工事件","施工預告","2020-02-03 16:17:00","20200203123653706400041","1","0","3",NA,272900,272900,"嘉義南向入口","2222222222","1","2020-02-03 16:17:00","1968",NA,"4","2020-02-03 16:17:43","S","23.42503023","120.35674530"
"嘉義系統(272) - 嘉義系統(272)","國道1號北向272.9km","國道1號北向272.9km=>272.9km 施工預告","施工事件","施工預告","2020-02-03 13:03:00","20200203130406371400041","1","0","4",NA,272900,272900,"嘉義系統北向出口","2222222222","1","2020-02-03 13:03:00",NA,NA,"1","2020-02-03 13:03:00","S","23.42503023","120.35674530"
"龍井(182) - 和美(191)","國道3號南向187.5km","國道3號南向187.5km=>187.5km 散落物","一般事件","散落物","2020-02-03 17:40:22","20200203007199","3","0","3","龍井-和美",187500,187500,NA,"0100000000","低","2020-02-03 17:40:45","1968#2用路人",NA,"1",NA,"C","24.17037509","120.53711260"
"土城(42) - 土城(42)","國道3號北向43km","國道3號北向43km=>43km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-02-03 18:03:00","202002031803020001","3","0","4",NA,43000,43000,NA,"0000000","2","2020-02-03 18:03:00","偵測器(出口匝道)",NA,"1","2020-02-03 18:03:00","N","24.95936944","121.42669520"
"龍井(182) - 和美(191)","國道3號南向188.5km","國道3號南向188.5km=>188.5km 散落物","一般事件","散落物","2020-02-03 18:02:01","20200203007250","3","0","3","龍井-和美",188500,188500,NA,"1000000000","低","2020-02-03 18:02:01","1968#9客服人員",NA,"1",NA,"C","24.16361650","120.53070450"
