"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","F","否","45-49",3,4
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","F","否","45-49",37,36
"嚴重特殊傳染性肺炎","2021","20","新北市","新莊區","F","否","45-49",4,5
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","F","否","45-49",18,17
"嚴重特殊傳染性肺炎","2021","24","新北市","新莊區","M","否","45-49",1,2
"嚴重特殊傳染性肺炎","2021","24","新北市","板橋區","F","否","30-34",NA,1
"嚴重特殊傳染性肺炎","2021","24","新北市","板橋區","M","否","3",NA,1
"嚴重特殊傳染性肺炎","2021","25","新北市","新莊區","M","否","45-49",2,1
"嚴重特殊傳染性肺炎","2021","25","新北市","板橋區","F","否","30-34",3,2
"嚴重特殊傳染性肺炎","2021","25","新北市","板橋區","M","否","3",1,NA
"嚴重特殊傳染性肺炎","2021","29","台中市","后里區","M","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","中山區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","信義區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","內湖區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","內湖區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","北投區","M","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","30","台北市","文山區","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","30","基隆市","安樂區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","三重區","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","中和區","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","中和區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","五股區","F","否","0",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","五股區","M","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","板橋區","M","否","45-49",2,1
"嚴重特殊傳染性肺炎","2021","30","新北市","永和區","M","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","30","新北市","蘆洲區","M","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","中壢區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","八德區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","八德區","M","否","10-14",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","八德區","M","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","八德區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","30","桃園市","八德區","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","30","空值","空值","F","是","30-34",2,1
"嚴重特殊傳染性肺炎","2021","30","空值","空值","M","是","35-39",2,1
"嚴重特殊傳染性肺炎","2021","30","空值","空值","M","是","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","30","空值","空值","M","是","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","30","高雄市","橋頭區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","31","新北市","新莊區","M","否","70+",1,NA
