"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","11","新北市","F","是","30-34",5
"嚴重特殊傳染性肺炎","2020","12","台中市","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","20-24",8
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","12","台南市","M","是","15-19",2
"嚴重特殊傳染性肺炎","2020","12","苗栗縣","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","12","基隆市","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","12","新北市","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","12","新竹市","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","新竹縣","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","12","嘉義市","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","13","台南市","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","13","高雄市","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","13","新北市","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","13","新北市","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","13","彰化縣","M","是","20-24",1
