"Id","CenterLatitude","CenterLongitude","AccessURL","Title","ProjectNo","ProjectName","Date","Class.x","Class.y"
"03-000U3",24.08116858,120.75243981,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20181024_120752440_024081169_15_000_RSImage_UAV_Ortho/","20181024_正射影像_臺中市太平區黃竹里","108WS026","108年度臺中分局土石流防災整備與緊急應變計畫","2018-10-24",NA,"正射影像"
"03-001KT",24.57279477,121.50204318,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211016_121502043_024572795_15_000_RSImage_UAV_Ortho/","20211016_正射影像_宜蘭縣大同鄉樂水村","110LL032","110年蘭台大規模崩塌潛勢示範區觀測科技整合研究","2021-10-16","正射影像",NA
"03-001KV",24.53355641,121.52557422,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211121_121525574_024533556_14_000_RSImage_UAV_Ortho/","20211121_正射影像_宜蘭縣大同鄉太平村","110LL032","110年蘭台大規模崩塌潛勢示範區觀測科技整合研究","2021-11-21","正射影像",NA
"03-001KW",24.53304042,121.52604581,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211216_121526046_024533040_14_000_RSImage_UAV_Ortho/","20211216_正射影像_宜蘭縣大同鄉太平村","110LL032","110年蘭台大規模崩塌潛勢示範區觀測科技整合研究","2021-12-16","正射影像",NA
"03-001KX",22.14814065,120.7021403,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210425_120702140_022148141_17_001_RSImage_UAV_Ortho/","20210425_正射影像_屏東縣獅子鄉竹坑村","110WS070","竹坑沿海集水區複合土砂災害之潛勢調查評估與對策研擬","2021-04-25","正射影像",NA
"03-001KY",22.14814065,120.7021403,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210425_120702140_022148141_17_000_RSImage_UAV_Ortho/","20210425_正射影像_屏東縣獅子鄉竹坑村","110WS070","竹坑沿海集水區複合土砂災害之潛勢調查評估與對策研擬","2021-04-25","正射影像",NA
"03-001KZ",23.87813153,120.97298652,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20200430_120972987_023878132_19_000_RSImage_UAV_Ortho/","20200430_正射影像_南投縣魚池鄉東光村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2020-04-30","正射影像",NA
"03-001L0",24.19952957,120.61819505,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20200515_120618195_024199530_18_000_RSImage_UAV_Ortho/","20200515_正射影像_臺中市西屯區林厝里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2020-05-15","正射影像",NA
"03-001L1",24.29262119,120.7243021,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210515_120724302_024292621_18_000_RSImage_UAV_Ortho/","20210515_正射影像_臺中市后里區廣福里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-05-15","正射影像",NA
"03-001L2",24.1439117,120.59867226,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210430_120598672_024143912_20_000_RSImage_UAV_Ortho/","20210430_正射影像_臺中市南屯區春社里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-04-30","正射影像",NA
"03-001L3",24.46510737,120.76921364,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210515_120769214_024465107_19_000_RSImage_UAV_Ortho/","20210515_正射影像_苗栗縣銅鑼鄉九湖村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-05-15","正射影像",NA
"03-001L4",24.29267372,120.72443627,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120724436_024292674_18_000_RSImage_UAV_Ortho/","20210625_正射影像_臺中市后里區廣福里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-06-25","正射影像",NA
"03-001L5",23.87816428,120.97305635,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120973056_023878164_19_000_RSImage_UAV_Ortho/","20210625_正射影像_南投縣魚池鄉東光村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-06-25","正射影像",NA
"03-001L6",24.52805663,121.98908359,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211121_121989084_024528057_16_000_RSImage_UAV_Ortho/",NA,"110LL032","110年蘭台大規模崩塌潛勢示範區觀測科技整合研究","2021-11-21","正射影像",NA
"03-001L8",25.14229522,121.77720014,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220224_121777200_025142295_16_000_RSImage_UAV_Ortho/","20220224_正射影像_基隆市信義區孝忠里","111000NP","非委辦計畫類","2022-02-24","正射影像",NA
"03-001L9",23.87782154,120.97336343,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210815_120973363_023877822_18_000_RSImage_UAV_Ortho/","20210815_正射影像_南投縣魚池鄉東光村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-08-15","正射影像",NA
"03-001LA",24.29277553,120.7242316,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210815_120724232_024292776_19_000_RSImage_UAV_Ortho/","20210815_正射影像_臺中市后里區廣福里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-08-15","正射影像",NA
"03-001LB",24.19977885,120.61828514,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210815_120618285_024199779_18_000_RSImage_UAV_Ortho/","20210815_正射影像_臺中市西屯區林厝里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-08-15","正射影像",NA
"03-001LC",24.4650419,120.76918216,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120769182_024465042_19_000_RSImage_UAV_Ortho/","20210625_正射影像_苗栗縣銅鑼鄉九湖村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-06-25","正射影像",NA
"03-001LD",24.1438675,120.5986287,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120598629_024143868_19_000_RSImage_UAV_Ortho/","20210625_正射影像_臺中市南屯區春社里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-06-25","正射影像",NA
"03-001LE",24.14390971,120.59870654,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210815_120598707_024143910_20_000_RSImage_UAV_Ortho/","20210815_正射影像_臺中市南屯區春社里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-08-15","正射影像",NA
"03-001LF",24.46504523,120.76915993,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210815_120769160_024465045_18_000_RSImage_UAV_Ortho/","20210815_正射影像_苗栗縣銅鑼鄉九湖村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-08-15","正射影像",NA
"03-001LG",24.19942981,120.61817285,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120618173_024199430_18_000_RSImage_UAV_Ortho/","20211008_正射影像_臺中市西屯區林厝里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-08","正射影像",NA
"03-001LH",24.29273253,120.72425946,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120724259_024292733_19_000_RSImage_UAV_Ortho/","20211008_正射影像_臺中市后里區廣福里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-08","正射影像",NA
"03-001LI",24.14394608,120.59868494,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120598685_024143946_19_000_RSImage_UAV_Ortho/","20211008_正射影像_臺中市南屯區春社里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-08","正射影像",NA
"03-001LJ",24.46506318,120.76919635,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120769196_024465063_19_000_RSImage_UAV_Ortho/","20211008_正射影像_苗栗縣銅鑼鄉九湖村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-08","正射影像",NA
"03-001LK",24.19972776,120.61812723,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120618127_024199728_17_000_RSImage_UAV_Ortho/","20211022_正射影像_臺中市西屯區林厝里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-22","正射影像",NA
"03-001LL",24.29274567,120.72446156,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120724462_024292746_18_000_RSImage_UAV_Ortho/","20211022_正射影像_臺中市后里區廣福里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-22","正射影像",NA
"03-001LM",23.87812333,120.97302533,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120973025_023878123_19_000_RSImage_UAV_Ortho/","20211022_正射影像_南投縣魚池鄉東光村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-22","正射影像",NA
"03-001LN",24.46512503,120.76925308,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120769253_024465125_19_000_RSImage_UAV_Ortho/","20211022_正射影像_苗栗縣銅鑼鄉九湖村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-22","正射影像",NA
"03-001LO",24.19942981,120.61817285,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120618173_024199430_18_000_RSImage_UAV_Ortho/","20210625_正射影像_臺中市西屯區林厝里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-06-25","正射影像",NA
"03-001LP",23.87813153,120.97298652,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120972987_023878132_19_000_RSImage_UAV_Ortho/","20211008_正射影像_南投縣魚池鄉東光村","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-08","正射影像",NA
"03-001LQ",24.1438675,120.5986287,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120598629_024143868_19_000_RSImage_UAV_Ortho/","20211022_正射影像_臺中市南屯區春社里","110WS061","臺灣地區山坡地沉砂設施量體初步探討及圖冊編制","2021-10-22","正射影像",NA
"03-001LU",23.20855443,121.30517519,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211016_121305175_023208554_17_000_RSImage_UAV_Ortho/","20211016_正射影像_花蓮縣富里鄉竹田村","110WS036","110年花蓮分局保育治理專案管理規劃","2021-10-16","正射影像",NA
"03-001LX",23.220677,120.805289,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220422_120816830_023178520_13_000_RSImage_UAV_Ortho/","20220422_正射影像_高雄市桃源區勤和里","111LL028","111年土砂災害空間資訊蒐集判釋與變遷分析","2022-04-22","正射影像",NA
"03-001M5",23.89145484,121.60303641,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220209_121603036_023891455_17_000_RSImage_UAV_Ortho/","20220209_正射影像_花蓮縣壽豐鄉鹽寮村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-02-09","正射影像",NA
"03-001M6",23.8874577,121.59995895,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220304_121599959_023887458_19_000_RSImage_UAV_Ortho/","20220304_正射影像_花蓮縣壽豐鄉鹽寮村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-03-04","正射影像",NA
"03-001M7",23.53227849,121.40582411,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220421_121405824_023532278_17_000_RSImage_UAV_Ortho/","20220421_正射影像_花蓮縣瑞穗鄉鶴岡村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-04-21","正射影像",NA
"03-001M8",23.462403,121.41729,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220421_121417412_023461712_18_000_RSImage_UAV_Ortho/","20220421_正射影像_花蓮縣玉里鎮德武里","111PC013","111年花蓮分局保育治理專案管理規劃","2022-04-21","正射影像",NA
"03-001M9",23.4472746,121.35755402,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220413_121357554_023447275_16_000_RSImage_UAV_Ortho/","20220413_正射影像_花蓮縣瑞穗鄉舞鶴村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-04-13","正射影像",NA
"03-001MA",23.17622934,121.23379993,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220427_121233800_023176229_18_000_RSImage_UAV_Ortho/","20220427_正射影像_花蓮縣卓溪鄉古風村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-04-27","正射影像",NA
"03-001MB",23.86134377,121.55429627,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220428_121554296_023861344_17_000_RSImage_UAV_Ortho/","20220428_正射影像_花蓮縣壽豐鄉月眉村","111PC013","111年花蓮分局保育治理專案管理規劃","2022-04-28","正射影像",NA
