"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","10","台北市","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","11","台北市","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","30-34",4
"嚴重特殊傳染性肺炎","2020","12","桃園市","F","是","20-24",3
"嚴重特殊傳染性肺炎","2020","12","彰化縣","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","20-24",2
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","30-34",2
"嚴重特殊傳染性肺炎","2020","13","台北市","M","否","20-24",1
"嚴重特殊傳染性肺炎","2020","13","新北市","M","否","70+",1
"嚴重特殊傳染性肺炎","2020","13","新北市","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","13","新北市","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","13","新竹市","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","13","新竹縣","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","13","彰化縣","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","14","高雄市","M","是","20-24",1
