"確定病名","縣市","鄉鎮","性別","是否為境外移入","年齡層","發病日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","15-19","2022/05/28",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","25-29","2022/05/29",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","25-29","2022/05/30",2,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","3","2022/05/27",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","3","2022/07/18",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","30-34","2022/06/02",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","30-34","2022/07/21",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","35-39","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","35-39","2022/07/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","5-9","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","50-54","2022/05/28",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","50-54","2022/07/21",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","50-54","2022/07/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","60-64","2022/05/28",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","60-64","2022/05/29",2,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","60-64","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/07/20",4,3
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/07/22",3,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","0","2022/05/30",2,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","15-19","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","15-19","2022/07/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","20-24","2022/05/27",3,2
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","20-24","2022/05/31",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","3","2022/07/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","30-34","2022/05/27",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","35-39","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","4","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","5-9","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","5-9","2022/07/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","50-54","2022/07/20",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","50-54","2022/07/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","55-59","2022/05/31",3,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/07/21",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/07/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/07/24",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","0","2022/07/21",NA,1
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","10-14","2022/07/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","15-19","2022/06/01",4,6
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","15-19","2022/07/23",3,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","2","2022/07/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","20-24","2022/05/28",3,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","20-24","2022/07/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","25-29","2022/05/31",3,2
