"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","2017","1","桃園市","桃園區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","13","台北市","南港區","M","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","14","新北市","三重區","M","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","17","新北市","中和區","M","否","1",1,NA
"嚴重特殊傳染性肺炎","2021","17","新北市","蘆洲區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","18","台北市","信義區","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","18","台北市","士林區","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","18","新北市","永和區","M","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","中正區","M","否","70+",6,5
"嚴重特殊傳染性肺炎","2021","19","台北市","士林區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","士林區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","大同區","M","否","65-69",5,4
"嚴重特殊傳染性肺炎","2021","19","台北市","萬華區","F","否","25-29",5,4
"嚴重特殊傳染性肺炎","2021","19","台南市","新營區","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","19","基隆市","安樂區","M","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","三星鄉","F","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","冬山鄉","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","壯圍鄉","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","羅東鎮","F","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","羅東鎮","M","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","三重區","M","否","0",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","中和區","F","否","40-44",9,8
"嚴重特殊傳染性肺炎","2021","19","新北市","新莊區","M","否","0",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","F","否","20-24",4,3
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","F","否","35-39",13,12
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","M","否","35-39",4,3
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","M","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","樹林區","F","否","25-29",2,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","汐止區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","泰山區","M","否","4",1,NA
"嚴重特殊傳染性肺炎","2021","19","新北市","金山區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","19","桃園市","平鎮區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","19","桃園市","龜山區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","19","空值","空值","M","是","25-29",12,11
"嚴重特殊傳染性肺炎","2021","20","台中市","清水區","F","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","中山區","M","否","60-64",5,4
"嚴重特殊傳染性肺炎","2021","20","台北市","中山區","M","否","70+",9,8
"嚴重特殊傳染性肺炎","2021","20","台北市","北投區","M","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","20","台北市","北投區","M","否","35-39",5,4
"嚴重特殊傳染性肺炎","2021","20","台北市","南港區","M","否","60-64",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","大同區","M","否","65-69",5,6
"嚴重特殊傳染性肺炎","2021","20","台北市","大安區","M","否","50-54",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","F","否","50-54",6,5
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","F","否","55-59",7,6
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","F","否","65-69",12,10
"嚴重特殊傳染性肺炎","2021","20","台北市","松山區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","松山區","M","否","25-29",2,1
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","M","否","20-24",3,2
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","M","否","4",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","M","否","65-69",47,46
"嚴重特殊傳染性肺炎","2021","20","嘉義市","西區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","20","基隆市","七堵區","F","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","20","宜蘭縣","冬山鄉","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","20","宜蘭縣","員山鄉","M","否","65-69",1,NA
